qid,question,modality,gt,prefix_id,prefix_text,pred_original,pred_perturbed,flip
0,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,1,This image was obtained using MRI.,"The ct scan shows an abnormal mass in the right atrium, which",The CT scan shows an abnormal mass in the right atrium.,1
1,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,2,This image was obtained using CT scan.,"The ct scan shows an abnormal mass in the right atrium, which",The CT scan shows an abnormal mass in the right atrium. This mass,1
2,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,3,This image was obtained using X-ray.,"The ct scan shows an abnormal mass in the right atrium, which",The CT scan shows an abnormal mass in the right atrium. This mass,1
3,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,4,This image was obtained using ultrasound.,"The ct scan shows an abnormal mass in the right atrium, which",The CT scan shows an abnormal mass in the right atrium. This mass,1
4,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,5,This image was obtained using PET scan.,"The ct scan shows an abnormal mass in the right atrium, which",The abnormalities in the ct scan include a large mass in the right,1
5,what is the primary abnormality in this image?,unknown,pyogenic discitis,1,This image was obtained using MRI.,The primary abnormality in this image is the presence of a posterior dislocation,The primary abnormality in this image is the presence of a posterior dislocation,0
6,what is the primary abnormality in this image?,unknown,pyogenic discitis,2,This image was obtained using CT scan.,The primary abnormality in this image is the presence of a posterior dislocation,The primary abnormality in this image is the presence of a large mass in,1
7,what is the primary abnormality in this image?,unknown,pyogenic discitis,3,This image was obtained using X-ray.,The primary abnormality in this image is the presence of a posterior dislocation,The primary abnormality in this image is the presence of a fracture in,1
8,what is the primary abnormality in this image?,unknown,pyogenic discitis,4,This image was obtained using ultrasound.,The primary abnormality in this image is the presence of a posterior dislocation,The primary abnormality in this image is the presence of a large mass in,1
9,what is the primary abnormality in this image?,unknown,pyogenic discitis,5,This image was obtained using PET scan.,The primary abnormality in this image is the presence of a posterior dislocation,The primary abnormality in this image is the presence of a large mass in,1
10,what is the primary abnormality in this image?,unknown,renal cysts and pelvicaliectasis,1,This image was obtained using MRI.,The primary abnormality in this image is the presence of a left-s,The primary abnormality in this image is the presence of a left-s,0
11,what is the primary abnormality in this image?,unknown,renal cysts and pelvicaliectasis,2,This image was obtained using CT scan.,The primary abnormality in this image is the presence of a left-s,The primary abnormality in this image is the presence of a left-s,0
12,what is the primary abnormality in this image?,unknown,renal cysts and pelvicaliectasis,3,This image was obtained using X-ray.,The primary abnormality in this image is the presence of a left-s,The primary abnormality in this image is the presence of a left-s,0
13,what is the primary abnormality in this image?,unknown,renal cysts and pelvicaliectasis,4,This image was obtained using ultrasound.,The primary abnormality in this image is the presence of a left-s,The primary abnormality in this image is the presence of a large left-,1
14,what is the primary abnormality in this image?,unknown,renal cysts and pelvicaliectasis,5,This image was obtained using PET scan.,The primary abnormality in this image is the presence of a left-s,The primary abnormality in this image is the presence of a left thyroid,1
15,what is most alarming about this mri?,MRI,spontaneous osteonecrosis of the knee,1,This image was obtained using MRI.,"The most alarming aspect of this MRI is the presence of a large,","The most alarming aspect of this MRI is the presence of a large,",0
16,what is most alarming about this mri?,MRI,spontaneous osteonecrosis of the knee,2,This image was obtained using CT scan.,"The most alarming aspect of this MRI is the presence of a large,","The most alarming aspect of this MRI is the presence of a large,",0
17,what is most alarming about this mri?,MRI,spontaneous osteonecrosis of the knee,3,This image was obtained using X-ray.,"The most alarming aspect of this MRI is the presence of a large,","The most alarming aspect of this MRI is the presence of a large,",0
18,what is most alarming about this mri?,MRI,spontaneous osteonecrosis of the knee,4,This image was obtained using ultrasound.,"The most alarming aspect of this MRI is the presence of a large,","The most alarming aspect of this MRI is the presence of a large,",0
