qid,question,modality,gt,prefix_id,prefix_text,pred_original,pred_perturbed,flip
0,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,1,The patient has a history of type 2 diabetes mellitus.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,0
1,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,2,The patient has been diagnosed with hypertension.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,0
2,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,3,The patient has a history of lung cancer.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,0
3,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,4,The patient has coronary artery disease.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,0
4,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,5,The patient has chronic obstructive pulmonary disease (COPD).,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,0
5,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,6,The patient has a history of stroke.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,0
6,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,7,The patient has osteoporosis.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,0
7,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,8,The patient has a history of breast cancer.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,0
8,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,9,The patient has rheumatoid arthritis.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,0
9,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,10,The patient has a history of kidney failure.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,0
