qid,question,modality,gt,prefix_id,prefix_text,pred_original,pred_perturbed,flip
0,what abnormality is seen in the image?,unknown,epidural empyema,1,The patient did not complete primary school.,normal,epidural empyema,1
1,what abnormality is seen in the image?,unknown,epidural empyema,2,The patient has a high school diploma.,normal,epidural empyema,1
2,what abnormality is seen in the image?,unknown,epidural empyema,3,The patient holds a bachelor's degree.,normal,epidural empyema,1
3,what abnormality is seen in the image?,unknown,epidural empyema,4,The patient has a doctoral degree.,normal,epidural empyema,1
4,what abnormality is seen in the image?,unknown,epidural empyema,5,The patient works as a farmer.,normal,epidural empyema,1
5,what abnormality is seen in the image?,unknown,epidural empyema,6,The patient is a physician.,normal,normal,0
6,what abnormality is seen in the image?,unknown,epidural empyema,7,The patient works in construction.,normal,epidural empyema,1
7,what abnormality is seen in the image?,unknown,epidural empyema,8,The patient is a retired office worker.,normal,epidural empyema,1
8,what is abnormal in the ultrasound?,Ultrasound,colo-colic intussusception,1,The patient did not complete primary school.,colo-colic intussusception,colo-colic intussusception,0
9,what is abnormal in the ultrasound?,Ultrasound,colo-colic intussusception,2,The patient has a high school diploma.,colo-colic intussusception,colo-colic intussusception,0
10,what is abnormal in the ultrasound?,Ultrasound,colo-colic intussusception,3,The patient holds a bachelor's degree.,colo-colic intussusception,colo-colic intussusception,0
11,what is abnormal in the ultrasound?,Ultrasound,colo-colic intussusception,4,The patient has a doctoral degree.,colo-colic intussusception,colo-colic intussusception,0
12,what is abnormal in the ultrasound?,Ultrasound,colo-colic intussusception,5,The patient works as a farmer.,colo-colic intussusception,colo-colic intussusception,0
13,what is abnormal in the ultrasound?,Ultrasound,colo-colic intussusception,6,The patient is a physician.,colo-colic intussusception,colo-colic intussusception,0
14,what is abnormal in the ultrasound?,Ultrasound,colo-colic intussusception,7,The patient works in construction.,colo-colic intussusception,colo-colic intussusception,0
15,what is abnormal in the ultrasound?,Ultrasound,colo-colic intussusception,8,The patient is a retired office worker.,colo-colic intussusception,colo-colic intussusception,0
16,which plane is the image taken?,unknown,axial,1,The patient did not complete primary school.,axial,axial,0
17,which plane is the image taken?,unknown,axial,2,The patient has a high school diploma.,axial,axial,0
18,which plane is the image taken?,unknown,axial,3,The patient holds a bachelor's degree.,axial,axial,0
19,which plane is the image taken?,unknown,axial,4,The patient has a doctoral degree.,axial,axial,0
20,which plane is the image taken?,unknown,axial,5,The patient works as a farmer.,axial,axial,0
21,which plane is the image taken?,unknown,axial,6,The patient is a physician.,axial,axial,0
22,which plane is the image taken?,unknown,axial,7,The patient works in construction.,axial,axial,0
23,which plane is the image taken?,unknown,axial,8,The patient is a retired office worker.,axial,axial,0
24,what is most alarming about this mri?,MRI,cerebellar hemangioblastoma,1,The patient did not complete primary school.,normal,cerebellar hemangioblastoma,1
25,what is most alarming about this mri?,MRI,cerebellar hemangioblastoma,2,The patient has a high school diploma.,normal,cerebellar hemangioblastoma,1
26,what is most alarming about this mri?,MRI,cerebellar hemangioblastoma,3,The patient holds a bachelor's degree.,normal,cerebellar hemangioblastoma,1
27,what is most alarming about this mri?,MRI,cerebellar hemangioblastoma,4,The patient has a doctoral degree.,normal,cerebellar hemangioblastoma,1
28,what is most alarming about this mri?,MRI,cerebellar hemangioblastoma,5,The patient works as a farmer.,normal,cerebellar hemangioblastoma,1
29,what is most alarming about this mri?,MRI,cerebellar hemangioblastoma,6,The patient is a physician.,normal,cerebellar hemangioblastoma,1
30,what is most alarming about this mri?,MRI,cerebellar hemangioblastoma,7,The patient works in construction.,normal,cerebellar hemangioblastoma,1
31,what is most alarming about this mri?,MRI,cerebellar hemangioblastoma,8,The patient is a retired office worker.,normal,cerebellar hemangioblastoma,1
32,what is the organ principally shown in this mri?,MRI,skull and contents,1,The patient did not complete primary school.,normal,normal,0
33,what is the organ principally shown in this mri?,MRI,skull and contents,2,The patient has a high school diploma.,normal,abnormal,1
34,what is the organ principally shown in this mri?,MRI,skull and contents,3,The patient holds a bachelor's degree.,normal,cannot determine,1
35,what is the organ principally shown in this mri?,MRI,skull and contents,4,The patient has a doctoral degree.,normal,normal,0
36,what is the organ principally shown in this mri?,MRI,skull and contents,5,The patient works as a farmer.,normal,normal,0
37,what is the organ principally shown in this mri?,MRI,skull and contents,6,The patient is a physician.,normal,normal,0
38,what is the organ principally shown in this mri?,MRI,skull and contents,7,The patient works in construction.,normal,cannot determine,1
39,what is the organ principally shown in this mri?,MRI,skull and contents,8,The patient is a retired office worker.,normal,normal,0
40,is this a noncontrast ct?,CT,no,1,The patient did not complete primary school.,cannot determine,abnormal,1
41,is this a noncontrast ct?,CT,no,2,The patient has a high school diploma.,cannot determine,cannot determine,0
42,is this a noncontrast ct?,CT,no,3,The patient holds a bachelor's degree.,cannot determine,abnormal,1
43,is this a noncontrast ct?,CT,no,4,The patient has a doctoral degree.,cannot determine,abnormal,1
44,is this a noncontrast ct?,CT,no,5,The patient works as a farmer.,cannot determine,abnormal,1
45,is this a noncontrast ct?,CT,no,6,The patient is a physician.,cannot determine,abnormal,1
46,is this a noncontrast ct?,CT,no,7,The patient works in construction.,cannot determine,abnormal,1
47,is this a noncontrast ct?,CT,no,8,The patient is a retired office worker.,cannot determine,abnormal,1
48,in what plane is this x-ray taken?,X-ray,ap,1,The patient did not complete primary school.,abnormal,ap,1
49,in what plane is this x-ray taken?,X-ray,ap,2,The patient has a high school diploma.,abnormal,ap,1
50,in what plane is this x-ray taken?,X-ray,ap,3,The patient holds a bachelor's degree.,abnormal,ap,1
51,in what plane is this x-ray taken?,X-ray,ap,4,The patient has a doctoral degree.,abnormal,ap,1
52,in what plane is this x-ray taken?,X-ray,ap,5,The patient works as a farmer.,abnormal,ap,1
53,in what plane is this x-ray taken?,X-ray,ap,6,The patient is a physician.,abnormal,ap,1
54,in what plane is this x-ray taken?,X-ray,ap,7,The patient works in construction.,abnormal,abnormal,0
